question	answers
0から9の数字のうち、円周率を読みだしたときに最も遅く出てくる数字は何でしょう?	0
英語で、顕微鏡はマイクロスコープといいますが、望遠鏡は何というでしょう?	テレスコープ
アラビア語で「コーヒー」を意味する、メキシコ原産のコーヒー豆からつくったリキュールのことを何というでしょう?	カルーア
わが国の内閣が行う閣議の形態を大きく3つに分けると、「定例閣議」「臨時閣議」ともう一つは何でしょう?	持ち回り閣議
アイルランド生まれの劇作家で、代表作に戯曲『サロメ』や小説『幸福の王子』があるのは誰でしょう?	オスカー・ワイルド
描かれた物が現実にあるかのように見せる「だまし絵」を、フランス語で何というでしょう?	トロンプ・ルイユ
当時流行していた2つのヒット曲のタイトルを組み合わせて名付けられた、サザンオールスターズのデビュー曲は何でしょう?	勝手にシンドバッド
国立国会図書館があるのは東京都ですが、国立国会図書館関西館があるのはどこの都道府県でしょう?	京都府
オリンピックの旗に描かれている五つの輪の色とは、青、黄、黒、緑と何でしょう?	赤
陰暦17日に出る月を「立待月」といいますが、その次の18日に出る月を何というでしょう?	居待月
内角の和と外角の和が一致する、唯一の多角形は何でしょう?	四角形
中国語で「テーブルクロス」という意味がある、和洋中の料理を大皿から取り分ける形式の、長崎県の郷土料理といえば何でしょう?	卓袱
1平方メートル当たり1ニュートンの力が加わっている状態の値を1とする、圧力や応力を表す国際単位は何でしょう?	パスカル
七夕の夜、織姫と彦星を会わせるために天の川に橋をかけるといわれている、韓国の国の鳥といえば何でしょう?	カササギ
中央競馬のGIレースで、ダービーとオークスが共に開催される競馬場はどこでしょう?	東京競馬場
日本語の品詞のうち、名詞や代名詞を体言というのに対して、動詞や形容詞のことを特に何というでしょう?	用言
「先生と私」「両親と私」「先生と遺書」の3編からなる、夏目漱石の小説は何でしょう?	こころ
第2次大戦後のアメリカによるヨーロッパ復興計画を、当時の国務長官の名前から「何プラン」と言うでしょう?	マーシャル・プラン
演劇や音楽会の興行で、昼に行われる「マチネー」に対し、夜に行われるものを何というでしょう?	ソワレー
テレビで映像を出力するコンポジット端子の色は、赤、白、黄色のうちどれでしょう?	黄色
3月2日に発売された、人気携帯ゲーム機「ニンテンドーDS」の上位モデルは何でしょう?	ニンテンドーDS Lite
アメリカ合衆国の国民になるために必要な「外国人登録カード」の事を、ある色を使って何カードというでしょう?	グリーンカード
男装した妻が囚われの身となった夫を救い出すというストーリーの、ベートーベンが作曲した唯一のオペラは何でしょう?	フィデリオ
1960年に世界初の女性首相となった、スリランカの政治家は誰でしょう?	シリマボ・バンダラナイケ
アフリカ大陸にセウタとメリリャという二つの領土を持つ、ヨーロッパの国はどこでしょう?	スペイン
「魚へんに青」でサバと読みますが、「金へんに青」で何と読むでしょう?	さび
人気女子プロゴルファー、横峯さくらの父親は誰でしょう?	横峯良郎
フランス語で「門番」という意味がある、ホテルで客の求めに応じて観光の案内やチケットの手配などを行う接客係を何というでしょう?	コンシェルジュ
子牛の胃袋から取れ、牛乳からチーズを作る際に活用される酵素は何でしょう?	レンネット
VHSやWindowsなどのように、業界普及率が高い「事実上の共通規格」のことを、ラテン語と英語の合成語で何というでしょう?	デファクトスタンダード
太陽の黒点は、周囲より温度が高い部分、低い部分のどちらでしょう?	低い部分
七五調の節回しと独特の合いの手で知られる、力士や行司たちが巡業などで披露する歌を何というでしょう?	相撲甚句
標高2037mのミッチェル山を最高峰とする、石油や石炭の産地としても有名な北アメリカ東部の山脈は何でしょう?	アパラチア山脈
正式名称を「伝染性紅斑」という、主に幼児から小学生に発症する病気を、両側の頬が赤くなることから一般に何というでしょう?	りんご病
無表情で一途な役柄から「偉大なるストーン・フェイス」というニックネームで呼ばれた、サイレント映画時代のアメリカの喜劇俳優は誰でしょう?	バスター・キートン
木槌で布を打って柔らかくし、つやを出すのに用いる木や石の台のことを何というでしょう?	砧
現在は毎年夏と年末に東京ビッグサイトで行われている、漫画などの同人誌の展示即売会は何でしょう?	コミックマーケット
作家の森鴎外、作曲家の滝廉太郎、細菌学者の北里柴三郎に共通する、彼らが留学した国はどこでしょう?	ドイツ
